Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2021-09-19 21:21:40,2021-09-20 22:27:54,UTC-04:00,29,34,56,,,20.4,4295,192,71,2021-09-19 21:21:40,2021-09-20 05:36:51,53,15.6,348,489,215,65,68,141,657,112,72,67
2021-09-18 23:03:51,2021-09-19 21:21:40,UTC-04:00,67,37,81,,,18.9,3995,169,71,2021-09-18 23:03:51,2021-09-19 08:00:00,53,15.0,342,536,174,118,50,194,645,115,65,76
2021-09-17 23:28:22,2021-09-18 23:03:51,UTC-04:00,51,37,74,,,16.9,3395,153,69,2021-09-17 23:28:22,2021-09-18 06:49:59,52,15.8,346,442,187,81,78,96,666,114,78,81
2021-09-16 22:11:58,2021-09-17 23:28:22,UTC-04:00,78,38,86,,,20.1,4202,187,70,2021-09-16 22:11:58,2021-09-17 06:30:00,63,16.1,410,498,238,98,74,88,656,117,82,96
2021-09-15 22:12:17,2021-09-16 22:11:58,UTC-04:00,60,38,79,,,18.2,3492,177,67,2021-09-15 22:12:17,2021-09-16 06:31:53,62,16.6,404,497,292,57,55,93,657,108,82,93
2021-09-14 22:16:00,2021-09-15 22:12:17,UTC-04:00,67,37,84,,,19.6,3823,196,69,2021-09-14 22:16:00,2021-09-15 06:30:00,55,16.3,363,494,240,41,82,131,655,117,74,92
2021-09-13 22:30:00,2021-09-14 22:16:00,UTC-04:00,49,38,76,,,18.0,3268,180,65,2021-09-13 22:30:00,2021-09-14 06:38:23,51,16.1,337,488,201,61,75,151,662,108,69,92
2021-09-12 22:47:22,2021-09-13 22:30:00,UTC-04:00,51,36,75,,,20.4,4259,195,73,2021-09-12 22:47:22,2021-09-13 06:46:00,55,15.6,352,478,224,41,87,126,634,111,73,85
2021-09-11 22:27:18,2021-09-12 22:47:22,UTC-04:00,79,37,93,,,16.0,2949,164,62,2021-09-11 22:27:18,2021-09-12 07:05:41,64,15.9,430,513,247,76,107,83,672,120,84,86
2021-09-10 22:28:49,2021-09-11 22:27:18,UTC-04:00,40,36,70,,,20.1,3540,207,67,2021-09-10 22:28:49,2021-09-11 05:29:41,50,15.9,329,421,189,86,54,92,654,110,80,91
2021-09-09 22:11:42,2021-09-10 22:28:49,UTC-04:00,63,36,84,,,18.8,3726,175,68,2021-09-09 22:11:42,2021-09-10 06:30:00,54,16.6,367,498,223,69,75,131,674,132,75,86
2021-09-08 22:10:44,2021-09-09 22:11:42,UTC-04:00,58,37,82,,,18.4,3349,193,63,2021-09-08 22:10:44,2021-09-09 06:23:00,57,16.6,392,492,225,68,99,100,687,134,81,78
2021-09-07 22:54:35,2021-09-08 22:10:44,UTC-04:00,73,36,96,,,20.3,4032,197,72,2021-09-07 22:54:35,2021-09-08 06:11:00,44,16.1,290,436,157,69,64,146,656,111,67,85
2021-09-06 22:42:52,2021-09-07 22:54:35,UTC-04:00,86,36,92,,,19.0,3405,186,65,2021-09-06 22:42:52,2021-09-07 06:43:51,64,16.6,399,474,210,69,120,75,629,120,84,69
2021-09-05 23:05:31,2021-09-06 22:42:52,UTC-04:00,69,37,80,,,19.8,3296,196,61,2021-09-05 23:05:31,2021-09-06 07:34:25,61,16.2,411,509,232,79,100,98,670,132,80,79
2021-09-04 23:25:54,2021-09-05 23:05:31,UTC-04:00,86,36,90,,,17.9,3350,174,68,2021-09-04 23:25:54,2021-09-05 06:50:58,57,16.4,376,445,171,93,112,69,659,123,84,78
2021-09-03 22:06:56,2021-09-04 23:25:54,UTC-04:00,78,37,85,,,17.7,3273,177,63,2021-09-03 22:06:56,2021-09-04 06:50:00,60,16.5,419,523,192,114,113,104,700,146,81,72
2021-09-03 00:13:29,2021-09-03 22:06:56,UTC-04:00,64,36,78,,,20.4,3939,193,73,2021-09-03 00:13:29,2021-09-03 06:13:11,39,16.1,250,359,133,70,47,109,641,120,69,55
2021-09-01 22:28:32,2021-09-03 00:13:29,UTC-04:00,56,37,66,,,15.6,2639,171,57,2021-09-01 22:28:32,2021-09-02 08:53:00,61,16.4,409,624,163,130,116,215,671,124,65,66
2021-08-31 22:50:31,2021-09-01 22:28:32,UTC-04:00,42,36,62,,,19.2,3967,167,72,2021-08-31 22:50:31,2021-09-01 05:59:52,48,16.2,311,429,132,90,89,118,645,108,72,76
2021-08-30 21:40:33,2021-08-31 22:50:31,UTC-04:00,41,36,64,,,17.9,3345,168,60,2021-08-30 21:40:33,2021-08-31 05:53:57,55,16.1,369,492,188,82,99,123,670,120,74,82
2021-08-29 22:42:33,2021-08-30 21:40:33,UTC-04:00,36,37,61,,,19.7,3637,196,66,2021-08-29 22:42:33,2021-08-30 06:53:06,61,16.1,389,482,265,70,54,93,638,108,80,88
2021-08-28 22:12:54,2021-08-29 22:42:33,UTC-04:00,35,36,61,,,16.8,3288,152,64,2021-08-28 22:12:54,2021-08-29 07:48:00,65,16.1,402,575,200,122,80,173,621,89,70,85
2021-08-27 22:34:17,2021-08-28 22:12:54,UTC-04:00,46,36,70,,,17.2,3049,164,62,2021-08-27 22:34:17,2021-08-28 07:40:00,71,16.5,461,545,208,112,141,84,646,108,85,80
2021-08-26 22:07:36,2021-08-27 22:34:17,UTC-04:00,73,35,82,,,18.0,2968,196,60,2021-08-26 22:07:36,2021-08-27 06:59:58,65,16.4,416,532,201,111,104,116,638,132,78,75
2021-08-25 22:41:38,2021-08-26 22:07:36,UTC-04:00,57,37,78,,,15.9,2620,175,58,2021-08-25 22:41:38,2021-08-26 07:00:28,57,16.7,383,492,218,92,73,109,674,148,78,77
2021-08-25 00:59:08,2021-08-25 22:41:38,UTC-04:00,69,36,91,,,16.3,2861,184,67,2021-08-25 00:59:08,2021-08-25 06:29:53,38,16.7,252,330,175,58,19,78,662,129,77,82
2021-08-23 23:02:39,2021-08-25 00:59:08,UTC-04:00,49,39,80,,,17.3,3411,172,66,2021-08-23 23:02:39,2021-08-24 06:23:00,46,17.2,315,440,236,54,25,125,678,146,71,86
2021-08-23 00:04:10,2021-08-23 23:02:39,UTC-04:00,52,35,75,,,17.2,3082,176,67,2021-08-23 00:04:10,2021-08-23 06:24:17,39,16.1,266,380,151,71,44,114,678,144,70,87
2021-08-22 00:26:28,2021-08-23 00:04:10,UTC-04:00,62,37,83,,,17.4,3325,167,68,2021-08-22 00:26:28,2021-08-22 06:27:58,40,16.6,286,353,205,58,23,67,706,151,80,76
2021-08-20 23:19:15,2021-08-22 00:26:28,UTC-04:00,46,35,72,,,20.6,4720,191,74,2021-08-20 23:19:15,2021-08-21 06:00:41,37,16.1,259,382,149,63,47,123,701,148,67,79
2021-08-19 22:36:26,2021-08-20 23:19:15,UTC-04:00,63,37,82,,,20.2,4335,176,70,2021-08-19 22:36:26,2021-08-20 06:54:00,52,16.6,360,497,245,71,44,137,688,144,73,72
2021-08-19 00:49:27,2021-08-19 22:36:26,UTC-04:00,67,36,85,,,18.8,3461,175,67,2021-08-19 00:49:27,2021-08-19 06:26:00,40,16.3,269,336,195,20,54,67,668,126,80,65
2021-08-17 21:22:52,2021-08-19 00:49:27,UTC-04:00,38,35,61,,,18.5,3870,173,65,2021-08-17 21:22:52,2021-08-18 06:50:12,59,15.7,403,563,233,66,104,160,690,136,71,63
2021-08-17 00:20:55,2021-08-17 21:22:52,UTC-04:00,39,36,67,,,20.3,3415,197,65,2021-08-17 00:20:55,2021-08-17 08:15:00,43,16.5,281,474,131,84,66,193,659,135,59,62
2021-08-15 22:04:14,2021-08-17 00:20:55,UTC-04:00,43,36,67,,,19.3,4040,175,68,2021-08-15 22:04:14,2021-08-16 07:11:00,56,16.1,383,546,194,105,84,163,685,129,71,78
2021-08-14 23:03:02,2021-08-15 22:04:14,UTC-04:00,65,36,81,,,20.6,4198,187,71,2021-08-14 23:03:02,2021-08-15 07:19:00,58,16.5,379,495,227,94,58,116,651,115,76,83
2021-08-13 23:15:21,2021-08-14 23:03:02,UTC-04:00,52,36,75,,,17.7,3202,171,64,2021-08-13 23:15:21,2021-08-14 06:50:00,52,16.3,331,454,203,72,56,123,642,129,73,76
2021-08-12 22:56:02,2021-08-13 23:15:21,UTC-04:00,67,36,84,,,20.0,3793,180,65,2021-08-12 22:56:02,2021-08-13 06:50:00,58,16.5,371,473,215,55,101,102,636,115,78,80
2021-08-11 23:32:22,2021-08-12 22:56:02,UTC-04:00,61,35,79,,,19.0,3563,180,66,2021-08-11 23:32:22,2021-08-12 07:01:17,52,15.9,354,445,217,64,73,91,680,129,79,80
2021-08-10 22:21:21,2021-08-11 23:32:22,UTC-04:00,23,35,50,,,19.8,4013,190,68,2021-08-10 22:21:21,2021-08-11 06:29:16,46,15.5,277,479,147,82,48,202,607,120,58,77
2021-08-09 23:00:00,2021-08-10 22:21:21,UTC-04:00,80,34,93,,,12.0,2103,165,55,2021-08-09 23:00:00,2021-08-10 06:50:00,50,16.2,325,470,201,81,43,145,657,126,72,77
2021-08-08 23:21:34,2021-08-09 23:00:00,UTC-04:00,87,35,92,,,19.9,3684,188,67,2021-08-08 23:21:34,2021-08-09 07:07:00,59,16.2,396,465,242,79,75,69,670,122,85,74
2021-08-07 22:30:00,2021-08-08 23:21:34,UTC-04:00,56,35,79,,,19.4,3595,191,63,2021-08-07 22:30:00,2021-08-08 06:02:01,49,16.4,321,452,169,55,97,131,654,134,78,61
2021-08-06 23:25:00,2021-08-07 22:30:00,UTC-04:00,39,37,70,,,19.3,3514,190,67,2021-08-06 23:25:00,2021-08-07 06:50:00,44,16.5,289,445,134,83,72,156,663,117,70,76
2021-08-06 00:18:38,2021-08-06 23:25:00,UTC-04:00,27,35,55,,,19.1,3514,176,66,2021-08-06 00:18:38,2021-08-06 08:25:00,62,15.6,385,486,247,49,89,101,622,95,79,68
2021-08-04 23:12:58,2021-08-06 00:18:38,UTC-04:00,53,36,77,,,19.8,3635,181,64,2021-08-04 23:12:58,2021-08-05 07:29:00,69,16.3,403,496,211,114,78,93,586,138,81,72
2021-08-04 00:27:00,2021-08-04 23:12:58,UTC-04:00,50,37,79,,,12.2,2091,153,54,2021-08-04 00:27:00,2021-08-04 07:52:45,55,16.9,368,445,193,86,89,77,663,108,82,73
2021-08-02 22:22:13,2021-08-04 00:27:00,UTC-04:00,56,36,81,,,20.6,5021,190,72,2021-08-02 22:22:13,2021-08-03 07:29:38,65,16.2,429,547,222,115,92,118,658,117,80,67
2021-08-01 23:27:25,2021-08-02 22:22:13,UTC-04:00,42,35,72,,,18.4,3009,180,59,2021-08-01 23:27:25,2021-08-02 08:37:00,62,16.1,412,549,216,85,111,137,668,124,75,69
2021-07-31 23:22:36,2021-08-01 23:27:25,UTC-04:00,38,36,76,,,18.8,3583,176,63,2021-07-31 23:22:36,2021-08-01 06:45:00,48,16.3,322,442,171,100,51,120,669,115,75,72
2021-07-30 23:56:20,2021-07-31 23:22:36,UTC-04:00,61,35,87,,,20.4,3845,186,69,2021-07-30 23:56:20,2021-07-31 06:50:00,52,16.2,309,413,158,78,73,104,598,120,74,63
2021-07-30 00:24:12,2021-07-30 23:56:20,UTC-04:00,27,37,65,,,19.1,3760,174,67,2021-07-30 00:24:12,2021-07-30 07:37:59,50,16.6,313,427,127,87,99,114,626,136,73,67
2021-07-29 01:12:41,2021-07-30 00:24:12,UTC-04:00,60,36,90,,,16.1,2569,172,55,2021-07-29 01:12:41,2021-07-29 07:02:49,43,16.1,266,339,131,69,66,73,615,120,78,61
2021-07-27 23:45:15,2021-07-29 01:12:41,UTC-04:00,57,37,90,,,17.7,3210,178,64,2021-07-27 23:45:15,2021-07-28 06:15:00,50,16.9,311,389,220,62,29,78,627,115,79,76
2021-07-26 23:14:18,2021-07-27 23:45:15,UTC-04:00,52,37,83,,,18.9,3301,180,63,2021-07-26 23:14:18,2021-07-27 06:33:27,52,16.5,352,437,218,83,51,85,673,135,80,82
2021-07-25 22:50:24,2021-07-26 23:14:18,UTC-04:00,36,36,69,,,17.9,3118,179,62,2021-07-25 22:50:24,2021-07-26 06:45:00,56,16.6,356,474,234,83,39,118,636,92,76,77
2021-07-24 23:10:06,2021-07-25 22:50:24,UTC-04:00,75,36,95,,,18.7,3415,179,64,2021-07-24 23:10:06,2021-07-25 08:05:00,70,16.6,445,534,256,91,98,89,641,139,83,73
2021-07-23 23:40:26,2021-07-24 23:10:06,UTC-04:00,48,36,76,,,17.7,3182,175,65,2021-07-23 23:40:26,2021-07-24 06:49:38,55,16.5,357,425,154,99,104,68,646,110,85,76
2021-07-23 00:08:52,2021-07-23 23:40:26,UTC-04:00,36,36,71,,,19.5,3592,185,65,2021-07-23 00:08:52,2021-07-23 07:38:23,54,16.0,360,442,132,108,120,82,669,134,84,78
2021-07-21 23:45:51,2021-07-23 00:08:52,UTC-04:00,22,36,64,,,19.8,3589,183,67,2021-07-21 23:45:51,2021-07-22 06:14:53,44,16.3,292,389,103,71,118,97,659,112,75,85
2021-07-20 23:00:26,2021-07-21 23:45:51,UTC-04:00,38,37,77,,,19.1,3720,191,69,2021-07-20 23:00:26,2021-07-21 06:29:55,53,16.5,359,449,238,82,39,90,671,127,80,83
2021-07-19 23:28:14,2021-07-20 23:00:26,UTC-04:00,37,35,77,,,18.8,3794,175,71,2021-07-19 23:28:14,2021-07-20 05:51:36,47,16.1,307,383,181,53,73,76,660,117,82,85
2021-07-18 22:50:58,2021-07-19 23:28:14,UTC-04:00,35,36,73,,,18.6,3527,179,66,2021-07-18 22:50:58,2021-07-19 06:59:39,62,16.1,394,488,226,58,110,94,638,124,81,79
2021-07-17 23:27:28,2021-07-18 22:50:58,UTC-04:00,54,35,92,,,20.1,3992,178,69,2021-07-17 23:27:28,2021-07-18 06:07:53,48,16.5,314,398,181,61,72,84,661,120,78,79
2021-07-16 23:31:14,2021-07-17 23:27:28,UTC-04:00,48,36,82,,,18.3,3291,176,64,2021-07-16 23:31:14,2021-07-17 06:25:45,61,16.6,346,410,163,59,124,64,566,98,84,70
2021-07-15 22:56:28,2021-07-16 23:31:14,UTC-04:00,46,36,81,,,17.8,2852,181,58,2021-07-15 22:56:28,2021-07-16 07:31:00,59,16.7,390,514,231,66,93,124,665,114,75,87
2021-07-14 22:32:41,2021-07-15 22:56:28,UTC-04:00,47,37,86,,,19.9,3771,187,69,2021-07-14 22:32:41,2021-07-15 07:00:40,63,17.1,406,502,244,67,95,96,645,100,80,84
2021-07-13 23:16:11,2021-07-14 22:32:41,UTC-04:00,49,37,88,,,18.8,3416,181,68,2021-07-13 23:16:11,2021-07-14 07:00:16,58,16.5,378,463,243,67,68,85,658,105,81,82
2021-07-12 22:54:52,2021-07-13 23:16:11,UTC-04:00,27,35,51,,,20.0,4116,181,71,2021-07-12 22:54:52,2021-07-13 06:48:52,56,15.3,362,473,279,46,37,111,645,108,76,72
2021-07-12 00:06:06,2021-07-12 22:54:52,UTC-04:00,40,35,66,,,17.7,2553,190,55,2021-07-12 00:06:06,2021-07-12 08:22:46,55,16.1,345,496,171,84,90,151,628,103,70,67
2021-07-10 23:37:36,2021-07-12 00:06:06,UTC-04:00,49,36,82,,,16.2,3011,169,64,2021-07-10 23:37:36,2021-07-11 06:51:16,57,16.6,361,425,236,72,53,64,633,92,86,73
2021-07-09 22:09:29,2021-07-10 23:37:36,UTC-04:00,59,38,93,,,18.3,3651,181,67,2021-07-09 22:09:29,2021-07-10 06:36:53,70,17.2,402,500,237,69,96,98,572,88,82,
2021-07-08 22:53:16,2021-07-09 22:09:29,UTC-04:00,69,38,114,,,19.9,3545,186,64,2021-07-08 22:53:16,2021-07-09 06:48:56,63,15.9,370,475,275,70,25,105,583,74,79,
2021-07-07 22:50:05,2021-07-08 22:53:16,UTC-04:00,93,36,154,,,17.7,2885,181,60,2021-07-07 22:50:05,2021-07-08 06:19:57,69,16.1,360,444,295,15,50,84,521,0,81,
2021-07-07 00:00:00,2021-07-07 22:50:05,UTC-04:00,,,,,,4.8,337,149,57,,,,,,,,,,,,,,
