Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2021-08-12 22:56:02,2021-08-13 23:15:21,UTC-04:00,2021-08-12 22:56:02,2021-08-13 06:50:00,58,16.5,371,473,215,55,101,102,636,115,78,80,false
2021-08-11 23:32:22,2021-08-12 22:56:02,UTC-04:00,2021-08-12 13:06:00,2021-08-12 13:46:00,4,17.0,25,40,25,0,0,15,641,115,71,,true
2021-08-11 23:32:22,2021-08-12 22:56:02,UTC-04:00,2021-08-11 23:32:22,2021-08-12 07:01:17,52,15.9,354,445,217,64,73,91,680,129,79,80,false
2021-08-10 22:21:21,2021-08-11 23:32:22,UTC-04:00,2021-08-10 22:21:21,2021-08-11 06:29:16,46,15.5,277,479,147,82,48,202,607,120,58,77,false
2021-08-09 23:00:00,2021-08-10 22:21:21,UTC-04:00,2021-08-10 17:30:00,2021-08-10 18:15:00,2,15.6,12,45,12,0,0,33,615,120,85,,true
2021-08-09 23:00:00,2021-08-10 22:21:21,UTC-04:00,2021-08-09 23:00:00,2021-08-10 06:50:00,50,16.2,325,470,201,81,43,145,657,126,72,77,false
2021-08-08 23:21:34,2021-08-09 23:00:00,UTC-04:00,2021-08-09 14:02:00,2021-08-09 14:27:00,3,16.9,20,25,20,0,0,5,669,126,93,,true
2021-08-08 23:21:34,2021-08-09 23:00:00,UTC-04:00,2021-08-08 23:21:34,2021-08-09 07:07:00,59,16.2,396,465,242,79,75,69,670,122,85,74,false
2021-08-07 22:30:00,2021-08-08 23:21:34,UTC-04:00,2021-08-07 22:30:00,2021-08-08 06:02:01,49,16.4,321,452,169,55,97,131,654,134,78,61,false
2021-08-06 23:25:00,2021-08-07 22:30:00,UTC-04:00,2021-08-07 17:32:00,2021-08-07 18:15:00,4,16.0,27,43,18,9,0,16,646,134,102,,true
2021-08-06 23:25:00,2021-08-07 22:30:00,UTC-04:00,2021-08-06 23:25:00,2021-08-07 06:50:00,44,16.5,289,445,134,83,72,156,663,117,70,76,false
2021-08-06 00:18:38,2021-08-06 23:25:00,UTC-04:00,2021-08-06 00:18:38,2021-08-06 08:25:00,62,15.6,385,486,247,49,89,101,622,95,79,68,false
2021-08-04 23:12:58,2021-08-06 00:18:38,UTC-04:00,2021-08-05 15:31:00,2021-08-05 16:19:00,4,17.1,24,48,24,0,0,24,639,95,77,,true
2021-08-04 23:12:58,2021-08-06 00:18:38,UTC-04:00,2021-08-04 23:12:58,2021-08-05 07:29:00,69,16.3,403,496,211,114,78,93,586,138,81,72,false
2021-08-04 00:27:00,2021-08-04 23:12:58,UTC-04:00,2021-08-04 08:08:00,2021-08-04 09:32:00,9,15.9,53,84,53,0,0,31,619,138,63,,true
2021-08-04 00:27:00,2021-08-04 23:12:58,UTC-04:00,2021-08-04 00:27:00,2021-08-04 07:52:45,55,16.9,368,445,193,86,89,77,663,108,82,73,false
2021-08-02 22:22:13,2021-08-04 00:27:00,UTC-04:00,2021-08-02 22:22:13,2021-08-03 07:29:38,65,16.2,429,547,222,115,92,118,658,117,80,67,false
2021-08-01 23:27:25,2021-08-02 22:22:13,UTC-04:00,2021-08-01 23:27:25,2021-08-02 08:37:00,62,16.1,412,549,216,85,111,137,668,124,75,69,false
2021-07-31 23:22:36,2021-08-01 23:27:25,UTC-04:00,2021-07-31 23:22:36,2021-08-01 06:45:00,48,16.3,322,442,171,100,51,120,669,115,75,72,false
2021-07-30 23:56:20,2021-07-31 23:22:36,UTC-04:00,2021-07-30 23:56:20,2021-07-31 06:50:00,52,16.2,309,413,158,78,73,104,598,120,74,63,false
2021-07-30 00:24:12,2021-07-30 23:56:20,UTC-04:00,2021-07-30 15:10:00,2021-07-30 16:37:00,11,16.2,67,87,36,10,21,20,626,120,79,,true
2021-07-30 00:24:12,2021-07-30 23:56:20,UTC-04:00,2021-07-30 00:24:12,2021-07-30 07:37:59,50,16.6,313,427,127,87,99,114,626,136,73,67,false
2021-07-29 01:12:41,2021-07-30 00:24:12,UTC-04:00,2021-07-29 14:07:00,2021-07-29 14:28:00,3,15.1,19,21,19,0,0,2,644,136,98,,true
2021-07-29 01:12:41,2021-07-30 00:24:12,UTC-04:00,2021-07-29 07:40:00,2021-07-29 08:01:00,3,14.3,15,21,15,0,0,6,617,136,76,,true
2021-07-29 01:12:41,2021-07-30 00:24:12,UTC-04:00,2021-07-29 01:12:41,2021-07-29 07:02:49,43,16.1,266,339,131,69,66,73,615,120,78,61,false
2021-07-27 23:45:15,2021-07-29 01:12:41,UTC-04:00,2021-07-28 14:45:00,2021-07-28 15:33:00,7,16.2,41,48,31,4,6,7,623,120,85,,true
2021-07-27 23:45:15,2021-07-29 01:12:41,UTC-04:00,2021-07-27 23:45:15,2021-07-28 06:15:00,50,16.9,311,389,220,62,29,78,627,115,79,76,false
2021-07-26 23:14:18,2021-07-27 23:45:15,UTC-04:00,2021-07-27 17:30:00,2021-07-27 18:05:00,5,16.1,32,35,27,5,0,3,617,115,93,,true
2021-07-26 23:14:18,2021-07-27 23:45:15,UTC-04:00,2021-07-26 23:14:18,2021-07-27 06:33:27,52,16.5,352,437,218,83,51,85,673,135,80,82,false
2021-07-25 22:50:24,2021-07-26 23:14:18,UTC-04:00,2021-07-25 22:50:24,2021-07-26 06:45:00,56,16.6,356,474,234,83,39,118,636,92,76,77,false
2021-07-24 23:10:06,2021-07-25 22:50:24,UTC-04:00,2021-07-24 23:10:06,2021-07-25 08:05:00,70,16.6,445,534,256,91,98,89,641,139,83,73,false
2021-07-23 23:40:26,2021-07-24 23:10:06,UTC-04:00,2021-07-24 16:50:00,2021-07-24 17:30:00,5,17.2,34,40,16,18,0,6,644,139,94,,true
